rotation_rank,scoring_rank,name,projected_mpg,projected_usage_rate,scorer_likelihood,pre_calibration_pts_pg,post_calibration_pts_pg,points_share_delta,projected_usage_share,projected_points_share,usage_share_mean,usage_share_p25,usage_share_p75,points_share_mean,points_share_p25,points_share_p75,points_share_mean_scoring_rank,points_share_p25_scoring_rank,points_share_p75_scoring_rank,usage_share_flag,points_share_flag,points_share_flag_scoring_rank,check_type,metric,projected_value,historical_mean,historical_p25,historical_p75,flag
1.0,1.0,Tyrone Riley IV,32.46711621790638,23.241482630272955,1.6187863649090952,14.315555838256898,14.318191751483148,-0.0011753176427405643,0.14142452029250088,0.17144511960254546,0.17029796429418478,0.14522401193433326,0.18778653334121487,0.17516363799754395,0.13877914454064952,0.20023570256883946,0.17516363799754395,0.13877914454064952,0.20023570256883946,outside_band,within_band,within_band,rank_detail,,,,,,
2.0,2.0,Fred Payne,31.0,25.916354838709676,1.8755000000000002,14.810095289376942,13.884340196881729,-0.012333505031756481,0.15409686084653454,0.16625020861382472,0.15158949054772988,0.14744294312408834,0.15831589332040338,0.15180569570771654,0.13808401748182084,0.16379402887092892,0.15180569570771654,0.13808401748182084,0.16379402887092892,within_band,outside_band,outside_band,rank_detail,,,,,,
3.0,3.0,Andrew Meadow,30.006223008215997,22.94977764423077,1.3224964955472978,12.946620594365733,13.652324833843128,0.007358586640849596,0.13425274542225724,0.1634720713772103,0.14290855783095177,0.12001236051874832,0.16002668535351852,0.15141018618024665,0.13050411553894298,0.1610995206319377,0.15141018618024665,0.13050411553894298,0.1610995206319377,within_band,outside_band,outside_band,rank_detail,,,,,,
4.0,4.0,Pharoah Compton,24.5,21.79069230769231,0.7894444444444444,10.41821513810511,11.436896736609446,0.011319316132964524,0.11518424971071806,0.13694467590063245,0.11123129584712761,0.09458386650511515,0.13406600488664794,0.11111412690581166,0.08531665883257378,0.14319745364515735,0.11111412690581166,0.08531665883257378,0.14319745364515735,within_band,within_band,within_band,rank_detail,,,,,,
5.0,5.0,Dwayne Aristode,22.018258544580775,15.725318681318683,0.15086584558323862,6.663396602944924,7.15317154482782,0.005302773187098167,0.07880068016809391,0.0856516222387856,0.11117290377931985,0.08261075258522618,0.11978828150261885,0.11500150401792857,0.10258465764529852,0.12929352300021948,0.11500150401792857,0.10258465764529852,0.12929352300021948,outside_band,outside_band,outside_band,rank_detail,,,,,,
6.0,6.0,Taylor Bol Bowen,22.1,16.635160256410256,0.4972500000000001,6.186853624079966,6.1001468176417895,-0.0015164795179956475,0.08234645827562614,0.07101380510534647,0.08116862756087008,0.06629676964645767,0.09544115582693155,0.08084729872552333,0.05954972552659747,0.10278654845030649,0.08084729872552333,0.05954972552659747,0.10278654845030649,within_band,within_band,within_band,rank_detail,,,,,,
7.0,7.0,Sean Stewart,16.270412155055993,16.488695913461537,0.44141025568809306,5.145836296070314,5.074495040463631,-0.0012522785149405719,0.07003375055671657,0.05907385716838208,0.06374394009786302,0.05014770289794031,0.07708635482173863,0.06321423654152133,0.04620078733142043,0.07948753389404087,0.06321423654152133,0.04620078733142043,0.07948753389404087,within_band,within_band,within_band,rank_detail,,,,,,
8.0,8.0,Tahj Ariza,14.2,17.4,0.239625,4.299482567211905,4.1160692977193145,-0.0024875752435392917,0.06904229505782114,0.047916509494985715,0.059589969515145516,0.05113748287537293,0.07242176353457044,0.05419911887284931,0.047858287109137414,0.06886445923657701,0.05419911887284931,0.047858287109137414,0.06886445923657701,within_band,within_band,within_band,rank_detail,,,,,,
9.0,9.0,Jasper Johnson,10.355731762202167,18.852560439560442,0.2368394208577718,3.571836198672193,3.520974563756539,-0.0008595760794117349,0.06296337125407582,0.039817707922161036,0.03988458393442838,0.029357930992160865,0.038073917469808226,0.036876102439598726,0.022294732380872928,0.03666916178990603,0.036876102439598726,0.022294732380872928,0.03666916178990603,outside_band,outside_band,outside_band,rank_detail,,,,,,
10.0,10.0,Jerry Easter II,8.814295964930741,16.236758620689656,0.11589166916853379,3.0053283528400563,2.755110165218207,-0.0027981481539866293,0.04777071842455312,0.028407637329425063,0.036137319526977164,0.027698809574586144,0.03615175052868084,0.03318749348759514,0.020474253608866115,0.033022394595686094,0.03318749348759514,0.020474253608866115,0.033022394595686094,outside_band,within_band,within_band,rank_detail,,,,,,
