name,freshman_comp_count,freshman_mpg_prior,freshman_usage_prior,freshman_reb_pg_prior,freshman_pts_pg_prior,freshman_ast_pg_prior,freshman_stl_pg_prior,freshman_blk_pg_prior,freshman_tov_pg_prior,freshman_fga_pg_prior,freshman_3pa_pg_prior,freshman_fta_pg_prior,freshman_fg_pct_prior,freshman_3p_pct_prior,freshman_ft_pct_prior,freshman_efg_pct_prior,freshman_ws_prior,freshman_bpm_prior
Kendre Harrison,3,4.80919540229885,13.0,1.2695652173913043,1.1763618190904548,0.067816091954023,0.08345827086456771,0.11679160419790106,0.1294352823588206,1.021639180409795,0.022988505747126436,0.46921539230384807,0.3713333333333333,0.0,0.68,0.3713333333333333,,
Seven Spurlock,1,2.0,12.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,
Tahj Ariza,3,28.434749034749036,22.36666666666667,5.756151109092286,13.695760466348702,2.0541978953743656,0.7163449163449164,0.5011734423499129,1.6983571807101219,10.283382542206072,4.259875842228784,3.3617836323718677,0.482,0.3503333333333334,0.7573333333333334,0.5483333333333333,,
